"Device Name","KD2",,,
"Device Model","DROP_2",,,
"Serial Number","2061168",,,
"FORMATTED DATE_TIME","Temperature","Relative Humidity","Heat Stress Index","Dew Point"
"YYYY-MM-DD HH:MM:SS","°F","%","°F","°F"
"2018-07-11 02:45:00","67.4","52.1","65.1","49.2"
"2018-07-11 02:50:00","67.3","52.2","65.1","49.2"
"2018-07-11 02:55:00","67.3","52.2","65.1","49.2"
"2018-07-11 03:00:00","67.4","52.2","65.1","49.2"
"2018-07-11 03:05:00","67.3","52.2","65.1","49.2"
"2018-07-11 03:10:00","67.4","52.3","65.1","49.3"
"2018-07-11 03:15:00","67.4","52.3","65.1","49.3"
"2018-07-11 03:20:00","67.3","52.3","65.1","49.2"
"2018-07-11 03:25:00","67.4","52.3","65.1","49.3"
"2018-07-11 03:30:00","67.3","52.3","65.1","49.2"
"2018-07-11 03:35:00","67.3","52.3","65.1","49.2"
"2018-07-11 03:40:00","67.3","52.3","65.1","49.2"
"2018-07-11 03:45:00","67.3","52.3","65.1","49.2"
"2018-07-11 03:50:00","67.3","52.3","65.1","49.3"
"2018-07-11 03:55:00","67.3","52.3","65.1","49.3"
"2018-07-11 04:00:00","67.3","52.4","65.1","49.3"
"2018-07-11 04:05:00","67.3","52.4","65.1","49.3"
"2018-07-11 04:10:00","67.3","52.4","65.1","49.3"
"2018-07-11 04:15:00","67.2","52.4","64.9","49.2"
"2018-07-11 04:20:00","67.3","52.5","65.1","49.3"
"2018-07-11 04:25:00","67.2","52.5","64.9","49.3"
"2018-07-11 04:30:00","67.2","52.6","65.1","49.3"
"2018-07-11 04:35:00","67.2","52.5","65.1","49.3"
"2018-07-11 04:40:00","67.2","52.6","65.1","49.3"
"2018-07-11 04:45:00","67.2","52.6","65.1","49.3"
"2018-07-11 04:50:00","67.3","52.6","65.3","49.4"
"2018-07-11 04:55:00","67.2","52.6","65.1","49.3"
"2018-07-11 05:00:00","67.2","52.6","65.1","49.4"
"2018-07-11 05:05:00","67.5","53.1","65.7","49.9"
"2018-07-11 05:10:00","67.5","52.7","65.7","49.6"
"2018-07-11 05:15:00","67.5","52.8","65.7","49.7"
"2018-07-11 05:20:00","67.6","52.6","65.7","49.7"
"2018-07-11 05:25:00","67.6","52.6","65.7","49.7"
"2018-07-11 05:30:00","67.6","52.5","65.7","49.6"
"2018-07-11 05:35:00","67.6","52.6","65.7","49.7"
"2018-07-11 05:40:00","67.6","52.6","65.7","49.7"
"2018-07-11 05:45:00","67.6","52.6","65.7","49.7"
"2018-07-11 05:50:00","67.6","52.5","65.7","49.6"
"2018-07-11 05:55:00","67.6","52.6","65.7","49.7"
"2018-07-11 06:00:00","67.6","52.6","65.7","49.7"
"2018-07-11 06:05:00","67.6","52.6","65.7","49.7"
"2018-07-11 06:10:00","67.6","52.6","65.7","49.7"
"2018-07-11 06:15:00","67.6","52.6","65.7","49.7"
"2018-07-11 06:20:00","67.6","52.6","65.7","49.7"
"2018-07-11 06:25:00","67.6","52.6","65.7","49.7"
"2018-07-11 06:30:00","67.6","52.7","65.7","49.7"
"2018-07-11 06:35:00","67.6","52.7","65.7","49.7"
"2018-07-11 06:40:00","67.6","52.7","65.7","49.7"
"2018-07-11 06:45:00","67.6","52.7","65.7","49.7"
"2018-07-11 06:50:00","67.5","52.7","65.7","49.6"
"2018-07-11 06:55:00","67.4","52.8","65.3","49.7"
"2018-07-11 07:00:00","67.4","52.9","65.3","49.7"
"2018-07-11 07:05:00","67.4","52.9","65.3","49.6"
"2018-07-11 07:10:00","67.3","53.0","65.3","49.6"
"2018-07-11 07:15:00","67.3","53.0","65.3","49.6"
"2018-07-11 07:20:00","67.3","53.1","65.3","49.6"
"2018-07-11 07:25:00","67.3","53.1","65.3","49.6"
"2018-07-11 07:30:00","67.2","53.1","65.1","49.6"
"2018-07-11 07:35:00","67.2","53.2","65.1","49.6"
"2018-07-11 07:40:00","67.2","53.2","65.1","49.6"
"2018-07-11 07:45:00","67.2","53.2","65.1","49.6"
"2018-07-11 07:50:00","67.6","52.9","65.7","49.8"
"2018-07-11 07:55:00","67.4","53.5","65.3","49.9"
"2018-07-11 08:00:00","67.3","53.2","65.3","49.7"
"2018-07-11 08:05:00","67.3","53.4","65.3","49.8"
"2018-07-11 08:10:00","67.2","53.4","65.1","49.7"
"2018-07-11 08:15:00","68.3","52.5","66.4","50.2"
"2018-07-11 08:20:00","67.5","52.3","65.5","49.4"
"2018-07-11 08:25:00","67.4","52.9","65.3","49.6"
"2018-07-11 08:30:00","67.3","52.9","65.3","49.5"
"2018-07-11 08:35:00","67.2","53.1","65.1","49.5"
"2018-07-11 08:40:00","67.2","53.1","65.1","49.6"
"2018-07-11 08:45:00","67.2","53.2","65.1","49.5"
"2018-07-11 08:50:00","67.1","53.2","65.1","49.5"
"2018-07-11 08:55:00","67.1","53.2","64.8","49.5"
"2018-07-11 09:00:00","67.1","53.2","64.8","49.5"
"2018-07-11 09:05:00","67.0","53.2","64.8","49.5"
"2018-07-11 09:10:00","67.0","53.4","64.8","49.5"
"2018-07-11 09:15:00","67.0","53.4","64.8","49.5"
"2018-07-11 09:20:00","67.0","53.4","64.8","49.5"
"2018-07-11 09:25:00","67.0","53.5","64.8","49.6"
"2018-07-11 09:30:00","67.0","53.6","64.8","49.6"
"2018-07-11 09:35:00","67.0","53.5","64.8","49.5"
"2018-07-11 09:40:00","67.0","53.5","64.8","49.6"
"2018-07-11 09:45:00","67.0","53.5","64.8","49.5"
"2018-07-11 09:50:00","67.0","53.5","64.8","49.5"
"2018-07-11 09:55:00","66.9","53.5","64.6","49.5"
